,numano,txnomeparlamentar,sguf,vlrliquido
0,2018.0,WILSON BESERRA,RJ,31747.77000000001
1,2018.0,CELSO JACOB,RJ,45600.83000000001
2,2018.0,RODRIGO MAIA,RJ,88405.45000000001
3,2018.0,LEONARDO PICCIANI,RJ,89525.55999999982
4,2018.0,CLARISSA GAROTINHO,RJ,110391.84999999989
5,2018.0,ALEXANDRE VALLE,RJ,112015.76999999997
6,2018.0,DEJORGE PATRÍCIO,RJ,113256.96999999993
7,2018.0,MIRO TEIXEIRA,RJ,123044.6799999998
8,2018.0,ZÉ AUGUSTO NALIN,RJ,125775.69999999992
9,2018.0,CABO DACIOLO,RJ,127047.83999999991
10,2018.0,INDIO DA COSTA,RJ,145301.38999999993
11,2018.0,JAIR BOLSONARO,RJ,148082.35999999984
12,2018.0,ALTINEU CÔRTES,RJ,153419.88999999996
13,2018.0,JEAN WYLLYS,RJ,159288.23999999993
14,2018.0,EZEQUIEL TEIXEIRA,RJ,178356.34999999992
15,2018.0,MARCELO DELAROLI,RJ,184924.66999999966
16,2018.0,CHICO ALENCAR,RJ,196999.2399999999
17,2018.0,WADIH DAMOUS,RJ,198510.27999999988
18,2018.0,GLAUBER BRAGA,RJ,207085.34999999995
19,2018.0,MARCOS SOARES,RJ,207463.63999999984
20,2018.0,ROSANGELA GOMES,RJ,212611.6599999998
21,2018.0,LUIZ SÉRGIO,RJ,213013.11999999997
22,2018.0,SERGIO ZVEITER,RJ,218426.37000000002
23,2018.0,LAURA CARNEIRO,RJ,224412.76000000004
24,2018.0,ALESSANDRO MOLON,RJ,225140.9499999996
25,2018.0,ALEXANDRE SERFIOTIS,RJ,225218.84999999983
26,2018.0,FELIPE BORNIER,RJ,226946.3399999998
27,2018.0,BENEDITA DA SILVA,RJ,235314.45999999967
28,2018.0,SORAYA SANTOS,RJ,238078.38999999984
29,2018.0,SÓSTENES CAVALCANTE,RJ,239935.53999999978
30,2018.0,AUREO,RJ,244288.30999999988
31,2018.0,MARCELO MATOS,RJ,246480.5099999999
32,2018.0,SIMÃO SESSIM,RJ,251656.12000000002
33,2018.0,OTAVIO LEITE,RJ,252910.08000000013
34,2018.0,MARCO ANTÔNIO CABRAL,RJ,253258.42
35,2018.0,CHICO D'ANGELO,RJ,253984.94999999972
36,2018.0,WALNEY ROCHA,RJ,255609.11999999985
37,2018.0,AROLDE DE OLIVEIRA,RJ,258540.95000000004
38,2018.0,DELEY,RJ,262195.4699999999
39,2018.0,PEDRO PAULO,RJ,270194.93000000005
40,2018.0,HUGO LEAL,RJ,272567.11000000004
41,2018.0,JULIO LOPES,RJ,273002.9499999998
42,2018.0,CELSO PANSERA,RJ,277476.47
43,2018.0,PAULO FEIJÓ,RJ,282681.94000000035
44,2018.0,JANDIRA FEGHALI,RJ,282856.4299999998
45,2018.0,LUIZ CARLOS RAMOS,RJ,287025.55
46,2018.0,FRANCISCO FLORIANO,RJ,288471.22999999975
47,2018.0,CRISTIANE BRASIL,RJ,319777.5799999999
48,2018.0,ROBERTO SALES,RJ,326180.29000000015
49,98882.0,,,10164500.67999999
